id;description;hs_code;sku_code;country_of_org;unit_price;quantity;item_value;created_date;updated_date
1;mobile Fish;Home Loan Account Ta;Trace;Savings Ac;2058;1;96990;2019-11-17T13:48:09;2019-11-17T11:09:07
2;red Chips Soap;Home Loan Account;web-readiness;Namibia;39986;2;4666;2019-11-18T00:07:08;2019-11-17T07:45:38
3;Multi-channelled Licensed;grey Cambridgeshire;Canyon HDD;Table Smal;80839;8;30461;2019-11-18T06:44:50;2019-11-18T04:47:11
4;Nakfa;Bahamian Dollar Inve;Games Regional Digit;copy conve;20794;11;56770;2019-11-18T02:41:38;2019-11-18T06:22:44
5;synthesizing Views e-enable;Credit Card Account ;Aruba;software s;82873;12;35675;2019-11-17T07:57:52;2019-11-18T00:23:17
6;Faroe Islands Plastic;Car Industrial deliv;orange Books;magenta mo;60595;1;92630;2019-11-17T22:31:38;2019-11-17T15:30:17
7;Internal;Investment Account a;payment;withdrawal;47221;8;11959;2019-11-17T07:48:34;2019-11-17T14:00:46
8;synthesize Idaho compress;Sleek Metal Table Sm;Intelligent Outdoors;Harbor Mon;69551;19;13933;2019-11-18T01:08:51;2019-11-17T16:37:28
9;Saint Lucia white;Generic neutral Sala;Auto Loan Account mo;digital ma;89255;18;53934;2019-11-17T23:20:46;2019-11-17T11:45:07
10;National;Direct;Profit-focused;Jewelery c;30478;0;16465;2019-11-17T18:52:21;2019-11-17T18:18:45
